id,nom,ville,cuisine,site_actuel,note_google,nb_avis,gmb_completude,lighthouse_mobile,age_site_ans,valeur_apportable,proba_acceptation,score_final,confidence,tier,bande_action,pourquoi_lui,statut,drapeau_rouge,date_scan,argument_qui_a_converti,raison_perte,cta_appel,cta_itineraire,cta_resa,menu_facile,photos_exploitables,instagram_actif,repond_avis,ecart_concurrentiel,angle_approche,commentaire_manuel
le-saloon,Le Saloon,Chartres,,aucun,5,1,35,,,80,64,73,80,B,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
brasserie-de-la-prefecture,Brasserie de la Préfecture,Chartres,coffee_shop,aucun,4.2,128,45,,,80,62,72,80,B,Réserve,4.2/128 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-comptoir-de-la-mairie,Le comptoir de la mairie,Chartres,,aucun,4.2,200,65,,,80,63,72,80,B,Réserve,4.2/200 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-table-du-marche,La Table Du Marché,Chartres,,aucun,4.1,615,65,,,80,62,72,80,B,Réserve,4.1/615 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
babylone,Babylone,Chartres,kebab,agrégateur:ubereats,4.3,667,65,,,78,65,72,80,B,Réserve,4.3/667 avis mais juste une page ubereats,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
pizza-berllardi,Pizza Berllardi,Chartres,pizza,aucun,4.2,65,65,,,79,60,71,80,B,Réserve,4.2/65 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
speed-rabbit-pizza,Speed Rabbit Pizza,Chartres,pizza,aucun,4.2,65,65,,,79,60,71,80,B,Réserve,4.2/65 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-erfood,L’Erfood,Chartres,sandwich,aucun,4.2,78,45,,,79,61,71,80,B,Réserve,4.2/78 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
o-pizza-dwich,O'Pizza Dwich,Chartres,pizzeria,agrégateur:ubereats,4.2,452,65,,,78,62,71,80,B,Réserve,4.2/452 avis mais juste une page ubereats,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-brochet-du-sud,La Brochet' du Sud,Chartres,french,https://cmdlv9.wixsite.com/labrochetdusud,4.7,338,45,86,4.4,59,84,70,95,B,Réserve,site sans appel à l'action clair (ni réservation  ni menu  ni tel visible),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-plaza-bar-live,Le Plaza Bar Live,Barjouville,,agrégateur:facebook.com,3.9,372,65,,,75,64,70,88,B,Réserve,3.9/372 avis mais juste une page facebook.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
kebab-express,Kebab Express,Chartres,kebab,aucun,4,227,65,,,79,58,70,80,B,Réserve,4/227 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-maryland,Le Maryland,Chartres,,agrégateur:facebook.com,4.2,222,65,,,77,62,70,80,B,Réserve,4.2/222 avis mais juste une page facebook.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
